id,is_working,age_range,education_level,first_question,second_question,third_question,fourth_question,fifth_question,sixth_question,seventh_question,eighth_question,prediction
1,False,3.0,3.0,asd,asd,asd,asd,asd,asd,asd,asd,
2,True,2.0,2.0,"Es un entrenamiento, no le daría mayor importancia.",Scrum y objetivos claros.,Mirar cursitos en Udemy del tema a especializar ,"Daily y asignarle tareas de junior
",Si ganamos se les da bono vacacional.,Un equipo debe tener desconfianza en desarrollo pero todo se gestiona con scrum,"Comunicación en las daily, creatividad mucha porque debemos dar solución.",Utilizo scrum,
3,True,2.0,2.0,Aceptando la derrota y dando privilegio por el esfuerzo,"El trabajo actual de mi equipo es bueno, lo que mejoraría seria que tuvieran mejor gestión del orden",Ayudar unos a otros,llamándolo en proyectos y teniendo paciencia,pues como es tardecito que vengan desayunados,los que tengan mas confianza que trabajen entre ellos,Muy importantes ya que así se encuentran múltiples formas de resolver un problema,los diagramas y mockups,
4,True,3.0,4.0,Haciendo un análisis de las falencias y las virtudes respectivas ,"Comunicación congruente y oportuna.
Transparencia en los procesos.",Calidad laboral para asegurar calidad de vida,Explicación de situaciones clave,"Resaltando las virtudes.
Explicando falencias y proponiendo acciones de corrección.",Logrando equidad y equilibrio ,"Celebrarse la diversidad.
Incrementar la inclusión.
Mejorar la comunicación para mantener estándares altos de desempeño ","Claridad en tareas, procesos, metas y objetivos.
Entendimiento de los tiempos y cargas.",
5,True,2.0,2.0,"Celebraria la victoria de este miembro , si este pierde lo ayudaria a estudiar cuales fueron su falencias. Tambien diria que es importante estudiar que hizo bien este jugador cuando gano, porque de las victorias tambien se aprende. ",Actualmente somos muy unidos y tenemos miebros que son excelentes en su trabajo. lamentablemente esto tiene sus deventajas y qes que algunas vesce aprovechamos esta atmosfera de camareria para justificar bajas en la productividad.,"Considero que es importante que las personas tenga hobbies fuera del trabajo, ya que si una persona solo piensa en mejorar en sus habilidades laborales, esta puede llegar a estancarse.",Pienso que tenr una atmosfera relajada y no tan centrada en el trabajo es ideal apra recibir a un nuevo integrante al trabajo. Tambien es bueno poder formar nuevos memes y bromas con este. Obviamente se deben tener ciertos limites para no entrar en terrenos de acosos laboral.,"Que no pience mucho en el partido y que se relaje, obviamente con una actividad que no le haga perder su desempeño como ir a tomar o drogarse (noe stoy encontra de ninguna de estas dos actividades, pero es preferible que no lo hagan antes del partido)","Siempre abigo por estrechar lazos en tre compañeros mas alla del trabajo, pero si veo que la relacion una buena relacion entre compañeros no es posible, prefiero que estos se traten de forma neutra casi como maquinas y que solo hablen entre ellos por cosas puntuales del trabajo.","Muy importantes, soy alguien que a aprte de programar disfruto dibujar. y una des las cosas que ams me gusta  hacer es comaprtir mis dibujos con mis compañeros. Ademas tambien es importante charlar y bromear de vez en cuando.",Actualmente estamos implementado muchas herramientas de automatización para poder facilitar tareas repetitivas y de administración.,
6,True,2.0,2.0,"Gana: felicitaria por el logro frente a todo el equipo, dando el reconocimiento que merece 
Pierde: lo felicitaria en grupo por el trabajo bien hecho y daría los puntos de mejora en privado","Actual: estamos en un cambio de metodología, así que ha sido un proceso fuerte acostumbrarse a eso 
Me gustaría: que hubiera más comunicación entre los líderes, cada uno toma decisiones sin consultar con el otro a pesar de ser del mismo equipo
Acciones: hablar con ellos durante el feedback de esta situación 
Felicitar en público , mirar lecciones aprendidas y aspectos a mejorar en privado
","Aprendizaje continuo
No a la monotonía laboral, poder encargarse de varios aspectos que no se salgan del alcance de su puesto ni necesite se sobreesfuerzos
Feedback mensuales","No diciendo si no hacer sentir que puede contar conmigo en aspectos de trabajo, enseñar de forma clara y siempre respetando los procesos de aprendizaje sin pasar los tiempos estipulados de capacitación además de adaptarme a la forma de aprender de la persona. 
Pase por esta situación en una compañia, bajo mi percepción lo que se necesita es hablar con esa persona, preguntar el motivo de que se siente excluida o apartada e integrar al grupo en unanimidad, no unos con más beneficios personales o laborales que otros. ","Entrenamiento previo 
Actividades de integración y confianza
Descanso adecuado","Es importante entender que siempre se van a cometer errores , lo mejor es aprender de estos y tener más seguridad y confianza para la siguiente vez que se haga esa tarea o actividad, además de establecer un plan de trabajo para tener todo listo.
Esta bien cometer errores y aprender de ellos
El mismo error dos veces es una falla de aprendizaje y es necesario establecer un plan de acción para evitar dichos errores ","Comunicación: importante para la toma de decisiones y la integración del equipo 
Creatividad: cada miembro del equipo tiene la oportunidad de proponer","Mejorar la comunicación entre líderes 
Mejorar la experiencia de los nuevos integrantes del equipo dada por una de las líderes",
7,True,1.0,2.0,Si,Si, si,Si,Si,No,Si,Si,
8,True,1.0,2.0,"Sin importar el resultado, considero que lo más importante es invitarlo a explotar al máximo sus capacidades, darle herramientas para que maximice su rendimiento y sea capaz de tomar decisiones en el momento.","Que todo el mundo se apoye entre si, estableciendo una meta clara y alcanzable, que todo el mundo sepa la dirección a la cual se necesita llegar. Los éxitos desde una perspectiva optimista y en búsqueda de nuevos retos, los fracasos desde una perspectiva de retroalimentación y fortalecimiento del equipo.","Tanto personal como profesionalmente, interactuar con otros agentes en el entorno o por fuera de el creo que es un factor clave para el crecimiento.","Invitándolo a interactuar con cada miembro del equipo por separado, asignándoles tareas en conjunto.","Haría juegos y dinámicas totalmente aparte al deporte, algo en lo que todos puedan participar de manera activa y olvidando por completo el partido.","Haciendo énfasis en las fortalezas de cada uno, que todo el mundo sepa que puede confiar ciertas tareas a ciertas personas, que sus capacidades son valiosas.
Creo que se debe tener en cuenta el ámbito externo al equipo, no todo recae únicamente en los espacios donde están todos juntos, también cuando cada uno está por aparte y en un ámbito más personal.","La comunicación es un factor vital para poder coordinar las actividades y transferir el conocimiento.
La creatividad es necesaria para poder resolver problemas y encontrar alternativas a situaciones complicadas.",Considero que son necesarias y siempre se debe buscar la manera de mejorar en todos los aspectos.,
9,True,1.0,1.0,"En el caso de que un miembro de mi equipo ganara o perdiera, lo felicitaria y exaltaria tanto las cosas buenas como las que necesitan mejora, siempre haciendo enfasis en que el resultado obtenido es producto del esfuerzo, la displina y la constancia. Tambien es importante darle a entender que ganar o perder siempre sirve para aprender, incluso se aprende mas cuando se pierde, asi bien, en cualquier caso, motivarlo a seguir adelante.","Actualmente mi grupo de trabajo es muy reducido, sin embargo tengo expectativas de ampliarlo. Me gustarua que funcionara de la manera mas optima posible, delegando cargos y trabajos, sin embargo, tanto los miembros del grupo, como yo, somos seres humanos, y por tanto tenemos varios problemas y es entendible que la mayoria de los casos no se puede tener el funcionamiento optimo ideal, pero no debe ser un factor que impida hacer las cosas de la mejor forma posible. Para mejorar el funcionamiento del grupo tendria charlas constantes con ellos y les exaltaria sus cualidades siempre motivandolos a mejorar, tambien encargaria a cada uno en el area que mejor se desarrolle, trataria de apoyar con cursos o algun tipo de educacion en su area preferida, y dar el suficiente tiempo a otras actividades diferentes al trabajo. Los exitos y los fracasos son normales y tambien necesarios, por tanto, ambls casos son una forma de crecimiento y aprendizaje.","Los factores claves del crecimiento tanto personal como profesional (el crecimiento en ambos campos es necesario y de alta importancia) podria decir que son la confianza, la felicidad en lo que se hace, la comodidad, el hecho de escuchar las ideas de los miembros del grupo, entre algunas otras, por tanto para fomentar ese crecimiento, es necesario hacer sentir importante a las personas, no solo por hecho de que estas personas lo necesitan, o el grupo lo necesita, sino porque un miembre del equipo es en realidad una parte importante y vital dentro del area laboral y personal. Tambien considero que es importante la empatia, el respeto y los espacios de esparcimiento.","En principio, alguien nuevo en el grupo, es alguien que quiere estar ahi, ese es el primer evento importante, siguiente lo presentaria a los demas, exaltando sus cualidades, tanto laborales como personales, asi seria mas facil para la nueva persona interactuar con los demas. En caso que se sienta excluido o se aparte del grupo, es necesario tener una comunicacion clara, tanto con la persona afectada, como con las personas involucradas, para tratar de dar con el problema y resolverlo de la mejor forma posible, sin embargo, una persona a la cual se le ve afectada su calidad de vida por estar en un grupo donde no se siente comodo, deberia ser completamente libre de decidir si se queda o se va.","Si al dia siguiente hay un partido importante, trataria de asegurarme que todos los miembros de mi equipo descansen y se alimenten adecuadamente, les diria que sin importar el resultado del partido estoy muy orgulloso de ellos, que mañana se vera el resultado de los entrenamientos y el esfuerzo de cada uno. Finalmente les mencionaria que los espero antes de la hora indicada para recibir las instrucciones finales.","La confianza es un factor clave para el buen desarrollo de las actividades de una persona, un alto nivel de confianza lleva consigo comodidad y felicidad en las tareas que necesita realizar, en consecuencia, un nivel de desconfianza alto tendria graves problemas para una persona. Existen varias formas de apoyar a una persona a mejorar su nivel de confianza, pero creo que una buena base seria la comunicacion acertiva, por tanto es importante escuchar a la persona afectada y darle el apoyo que este bajo control, como por ejemplo, apoyar economicamente, o con algun curso para su educacion. Las situaciones mas relacionadas con aspectos de confianza o desconfianza podrian ser las situaciones personales, debido a que estos aspectos afectan directamente todos los ambitos de la vida de una persona, por eso es tan relevante tener presente que los miembros de un equipo deben tener buen nivel de confianza","La comunicacion me parece un factor muy importante en cualquier aspecto de la vida, ya sea en relaciones interpersonales como son las de pareja, las familiares o las amistades, como tambien las laborales, por tanto, la comunicacion en un grupo de trabajo es tan importortante y relevante, que puede llevar al exito o al fracaso del equipo. Respecto a la creatividad, considero que tambien es un factor necesario, debido a que las ideas o las soluciones de un miembro pueden ser la solucion a grandes problemas, por tanto, ea necesario incluso fomentar la creatividad de los miembros del grupo, por medio de la comunicacion, el fomentar las ideas e incluso fomentar la libertad creativa en el ambito laboral","En mi equipo de trabajo existe un gran problema, y es la disposicion tanto mental como de tiempo que disponemos los miembro, considero que esto pasa principalmente porque al estar estudiando y trabajando al misml tiempo es un poco dificil ser acertado en las desiciones de cuando se debe trababar y cuando no. Considero que una buena solucion seria el plantear una estructura organizacional de trabajo, que permita realizar todas las actividades tanto personales como laborales de los miembros del grupo, debe ser flexible pero eficiente, quiza de esa forma la eficiencia del grupo incremente de buena forma",
10,True,1.0,2.0,buscar debilidades y afrontarlas de manera correcta,Contratar un mejor líder técnico donde exista un apoyo sobre dudas y lograr un equilibrio de trabajos sobre las cualidades del equipo,apartar lo personal de lo profesional y tener habilidades blandas para una comunicacion asertiva,"Actividades de presentación e integración, dar breaks por grupos para que adquiera confianza con pocas personas","Con porras y haciéndolos entrenar antes del partido, pero el día anterior que descansen",los secretos se mantengan dentro y que todos lleven la responsabilidad,muy importantes,espacios libres para intentar cosas nuevas,
