influencia_idealizada_conducta,influencia_idealizada_atribuida,motivacion_inspiracional,estimulacion_intelectual,consideracion_individualizada,recompensa_contingente,direccion_por_excepcion_activa,direccion_por_excepcion_pasiva,laissez_faire
inspirar,admirar,inspirar,desafiar,mentorizar,recompensar,supervisar,esperar,delegar
liderar ,respetar,motivar,cuestionar,apoyar,premiar,corregir,retrasar,permitir
ejemplificar,confiar,entusiasmar,analizar,escuchar,reconocer,monitorear,aplazar,dejar
demostrar,valorar,alentar,innovar,asesorar,compensar,inspeccionar,omitir,liberar
motivar,emular,animar,pensar,comprender,otorgar,revisar,evitar,soltar
guiar,seguir,impulsar,investigar,ayudar,remunerar,controlar,desatender,abandonar
influenciar,imitar,desafiar,explorar,guiar,gratificar,observar,ignorar,autorizar
promover,estimar,estimular,experimentar,cuidar,incentivar,intervenir,observar,desentenderse
representar,reverenciar,encorajar,descubrir,atender,motivar,ajustar,delegar,ceder
encabezar,idolatrar,energizar,reflexionar,entrenar,valorar,detectar,demorar,consentir
orientar,apreciar,exhortar,diseccionar,orientar,estimar,vigilar,suspender,facilitar
dirigir,enaltecer,impresionar,debatir,facilitar,elogiar,examinar,postergar,otorgar
supervisar,exaltar,excitar,evaluar,acompanar,congratular,evaluar,aplazar,conceder
fortalecer,elogiar,incentivar,sintetizar,supervisar,honrar,analizar,dilatar,soltar
emprender,ensalzar,vigorizar,examinar,motivar,agasajar,verificar,procrastinar,liberar
estimular,venerar,emocionar,escrutar,desarrollar,felicitar,confirmar,detener,permitir
involucrar,honrar,activar,interpretar,fomentar,aplaudir,sancionar,posponer,desligar
transformar,glorificar,avivar,formular,fortalecer,condecorar,advertir,desestimar,delegar
innovar,reconocer,enardecer,hipotetizar,respetar,gratifizar,disciplinar,despreciar,permitir
impulsar,celebrar,elevar,razonar,apreciar,bendecir,regular,dejar,aceptar
facilitar,aplaudir,exaltar,argumentar,valorar,atribuir,identificar,permanecer,dejar
coordinar,encomiar,instigar,deducir,reconocer,apoyar,rectificar,abstenerse,aprobar
mediar,alabar,infundir,inducir,adaptar,celebrar,asegurar,resignar,dejar
consolidar,aclamar,contagiar,conjecturar,personalizar,resaltar,garantizar,abandonar,autorizar
asegurar,loar,reanimar,postular,proteger,destacar,responder,rehuir,permitir
forjar,ovacionar,reactivar,plantear,amparar,fomentar,medir,descuidar,despreocupar
preservar,aprobar,revitalizar,demostrar,apoyar,alentar,registrar,despreocupar,tolerar
potenciar,asentir,fortalecer,comprobar,defender,animar,reportar,aplacar,aceptar
respaldar,consentir,reavivar,verificar,consolar,confirmar,auditar,descontinuar,consentir
distinguir,adoptar,renovar,corroborar,auxiliar,aprobar,asegurar,aplazar,soltar
inculcar,aceptar,resucitar,confirmar,animar,elogiar,ratificar,contener,permitir
fomentar,acoger,regenerar,revisar,alentar,conceder,validar,calmar,desconectar
cultivar,respetar,revivir,inspeccionar,educar,entregar,aprobar,tranquilizar,renunciar
construir,considerar,emular,diagnosticar,ensenar,regalar,documentar,relajar,permanecer
materializar,evocar,provocar,elucidar,capacitar,distinguir,seguir,soslayar,observar
realizar,concordar,evocar,ilustrar,informar,ofrecer,cumplir,olvidar,mirar
proyectar,coincidir,recordar,aclarar,aclarar,proveer,proteger,ausentarse,ausentarse
manifestar,adherir,rememorar,detallar,explicar,asegurar,custodiar,eximir,eximir
validar,unir,remembrar,informar,sostener,garantizar,guardar,excluir,excluir
capacitar,proteger,despertar,documentar,instruir,respaldar,preservar,sustraer,sustraer
superar,defender,suscitar,explicar,formar,subvencionar,mantener,desechar,desechar
reconocer,garantizar,fomentar,ensenar,entender,sostener,conservar,rehuir,dejar
enfrentar,respaldar,nutrir,aprender,simpatizar,avalar,sostener,eludir,relevar
valorar,abrigar,abonar,instruir,solidarizar,ratificar,sustentar,desvincular,descuidar
desarrollar,sostener,desarrollar,educar,interesarse,validar,apoyar,apartar,olvidar
implementar,sustentar,gestar,capacitar,compadecer,proteger,respaldar,cesar,distraer
perseverar,promover,crear,entrenar,empatizar,cuidar,auxiliar,parar,ceder
establecer,patrocinar,producir,actualizar,socorrer,salvaguardar,socorrer,descansar,dejar
sostener,apadrinar,generar,orientar,resguardar,resguardar,ayudar,interrumpir,relajar
adaptar,amparar,concebir,guiar,auspiciar,asegurar,asistir,replegar,tranquilizar
proteger,favorecer,idear,dirigir,tutelar,amparar,orientar,tolerar,aflojar
mantener,impulsar,formular,consultar,vigilar,defender,guiar,soportar,abandonar
cumplir,apoyar,inventar,asesorar,suplir,certificar,dirigir,aguantar,desatender
influir,alentar,disenar,mentorear,guiar,verificar,coordinar,consentir,esperar
articular,animar,elaborar,recomendar,sustentar,confirmar,organizar,permitir,aplazar
motivar,motivar,componer,sugerir,acomodar,comprobar,gestionar,dejar,dilatar
comprometer,estimular,estructurar,proponer,intervenir,subrayar,administrar,conceder,aplacar
colaborar,incitar,planear,indicar,participar,remarcar,implementar,contemplar,aplazar
interactuar,provocar,orquestar,apuntar,involucrar,aclamar,ejecutar,asumir,descontinuar
articular,fomentar,organizar,detectar,motivar,exaltar,desempenar,intentar,soslayar
conectar,cultivar,preparar,identificar,confiar,ensalzar,realizar,meditar,olvidar
cooperar,conservar,disponer,resolver,encargar,proclamar,cumplir,reflexionar,rehuir
disenar,preservar,articular,solucionar,delegar,reverenciar,resolver,pensar,eludir
ejecutar,mantener,enfocar,crear,supervisar,venerar,solucionar,considerar,desvincular
gestionar,prolongar,dirigir,producir,planear,enaltecer,intervenir,ponderar,apartar
guiar,perpetuar,coordinar,generar,coordinar,engrandecer,participar,evaluar,cesar
implementar,perdurar,administrar,concebir,organizar,magnificar,involucrar,sopesar,parar
innovar,sustentar,gestionar,formular,proveer,glorificar,decidir,prever,descansar
institucionalizar,auxiliar,manejar,elaborar,disponer,apreciar,gestionar,calcular,interrumpir
integrar,ayudar,controlar,disenar,preparar,ponderar,manejar,detenerse,replegar
intensificar,socorrer,supervisar,planificar,suministrar,alabar,responder,replantear,permanecer
liderar,colaborar,vigilar,estructurar,ofrecer,ovacionar,reparar,reformular,retirarse
optimizar,cooperar,custodiar,organizar,gestionar,aclamar,restaurar,renunciar,renunciar
planificar,contribuir,guardar,orquestar,administrar,loar,reponer,archivar,contemplar
preparar,intervenir,proteger,administrar,resolver,aclamar,mejorar,arrinconar,abstenerse
promocionar,participar,defender,gestionar,atender,apoyar,optimizar,excusar,resignar
proveer,involucrar,preservar,manejar,cuidar,subrayar,potenciar,justificar,resignarse
realizar,comprometer,mantener,controlar,sanar,afirmar,incrementar,soltar,rendir
reforzar,dedicar,conservar,supervisar,curar,respetar,aumentar,desistir,someter
resolver,entregar,sostener,vigilar,asistir,constatar,fortalecer,despedir,soltar
responsabilizar,esforzar,sustentar,custodiar,impulsar,justificar,intensificar,liberar,ceder
satisfacer,trabajar,apoyar,proteger,estimular,abonar,reforzar,retirarse,entregar
servir,producir,respaldar,defender,integrar,pagar,promover,desactivar,rendirse
sostener,desempenar,auxiliar,preservar,incluir,dar,impulsar,cerrar,permisivo
supervisar,realizar,socorrer,mantener,aceptar,retribuir,fomentar,concluir,liberador
suscitar,ejecutar,ayudar,conservar,escuchar,financiar,motivar,terminar,relajado
transmitir,cumplir,asistir,sostener,hablar,sostener,estimular,cesar,flexible
unificar,lograr,atender,sustentar,conversar,proporcionar,capacitar,separar,autonomo
valorar,obtener,cuidar,apoyar,dialogar,facilitar,entrenar,apartarse,independiente
